,leid0_1,leid0_2,leid0_3,leid0_4,leid0_5,leid0_6,leid0_7,leid0_8,leid0_9,leid0_10,leid0_11,leid0_12,leid0_13,leid0_14,leid0_15,leid0_16,leid0_17,leid0_18,leid0_19,leid0_20,leid0_21,leid0_22,leid0_23,leid0_24,leid0_25,leid0_26,leid0_27,leid0_28,leid0_29,leid0_30,leid0_31,leid1_1,leid1_2,leid1_3,leid1_4,leid1_5,leid1_6,leid1_7,leid1_8,leid1_9,leid1_10,leid1_11,leid1_12,leid1_13,leid1_14,leid1_15,leid1_16,leid1_17,leid1_18,leid1_19,leid1_20,leid1_21,leid1_22
COQ5,0.0001764827893941,6.24204203529658e-05,0.0007452396341668,0.0002765053337634,0.0003704018270385,0.000309308170503,0.0002338045767295,0.0004631011301214,0.0002128031605777,2.88276042898745e-05,0.0003426448804569,0.0002786176158308,0.0001572992575218,9.83358097204268e-05,0.0004366883751977,0.0002785444319993,0.0003197622576539,0.0002575286662046,0.0001389619658903,7.135868546711742e-05,0.0002085329586477,0.0001101842296173,6.512105022236753e-05,3.317019246566109e-05,3.890298025614677e-05,9.382450308020237e-06,0.0002366198526601,5.756574947806431e-05,6.058956394634233e-05,5.724571588817394e-05,3.883443292598758e-05,7.483357061610412e-05,0.0005310526798478,0.0001663455536964,0.0005353330083516,0.0001816090231703,0.0002490666830715,0.0001458526081286,0.0007619330274898,0.0004051741797867,0.0004331977327312,0.0001195328025593,0.0001601051755611,0.0002029647662577,0.0003861593146873,0.0001560041881455,0.0003344693258933,0.000252656386097,0.0003218223484677,0.0001026732284207,0.0001569399747322,0.0002593837538961,0.0001248021702765
TNNC1,0.0072721288714876,0.0005186768032171,0.010169160441874,0.0005448825611199,0.0040780380887268,0.0125782681894886,0.0047580823672654,0.0069584013941066,0.0034535643055625,0.0031002026722572,0.003717345920121,0.0038023899154198,0.0021891900049094,0.0027245692549961,0.0054733838764201,0.0042909740990762,0.0046498406468965,0.004508131345719,0.0032943898091828,0.0013524710604606,0.0059350625525193,0.0052865027707034,0.0038697819051582,0.0032297105458965,0.0007893813917049,0.0034263621638509,0.004083676455773,0.0077531754249216,0.0017699049101657,0.0006673678080524,0.0010043769134264,0.0178630297564185,0.089991148939064,0.0412780199822141,0.0797379331484015,0.0788463902383612,0.0419466062292474,0.0530449279687243,0.0842482124965042,0.0602775100463141,0.0766113663944699,0.0310332132927551,0.0592667095756419,0.0795100672613566,0.0928213828128763,0.0567115355741856,0.0885981104957481,0.0637546799420588,0.0518824142707739,0.0410484896987099,0.0500381288349385,0.073450698817725,0.0320517956305844
TNNC2,0.0130470118267304,0.0113953075654603,0.0573372465128495,0.0179798471348507,0.0200008794865893,0.0179997903379346,0.0291789474013668,0.0165817003174348,0.0098891376268361,0.0078850780907299,0.0105024033071676,0.0070139685331768,0.0085431588314728,0.0107729442055357,0.0256262616370918,0.0080644873176083,0.0144808557711279,0.0184984584056405,0.0095290586772628,0.0056133524928343,0.045550377715986,0.0129185091830211,0.0135411276693012,0.0082259507061594,0.011573458449118,0.0105621008248965,0.0197546017557682,0.0257438526205224,0.0207963208587692,0.015431629203619,0.0129399612375547,8.155840744226658e-06,0.0005188205663439,0.0003053068806603,0.0002066916272271,0.0003373806284292,0.0001122044102039,0.0001192275310436,0.0003956630913607,8.60581371786891e-05,0.0001887313485134,0.0003410473499977,0.0001624463053548,0.0200858012034613,0.0008043140262323,0.000707056561319,0.0004604940896931,0.0005378698381768,0.0206686301777206,0.0003084321973844,0.0150550935966493,0.0005424622059354,0.0158084089245925
ALDH2,0.0001943854644395,8.60241329583562e-05,0.0009714788587834,0.00028566122639,0.0004869190134259,0.0004181253901694,6.815279462877128e-05,0.0004354427511036,3.824581809442781e-05,8.15586897580924e-05,0.0004134666040993,0.0002669796001415,6.425883880789077e-05,4.054684649066236e-05,0.0005870762212,1.6646885900951216e-05,9.239892927560058e-05,0.000172110491551,2.2997250572223503e-05,0.0,0.0004578492034111,0.0002353646769364,0.0001350936646892,0.0001475733451709,0.0001272189514923,9.267581713129368e-05,0.0004886770511847,0.0002898666039536,0.0002088497116851,0.0001317487652406,0.0001160380307508,6.956664656416089e-05,0.000624344940452,0.0002079238836135,0.0005353718256026,5.903333880621796e-05,0.00020234120407,1.3962794908988102e-06,0.0006810498045279,0.0002880584241302,0.0003605823839226,5.702390750819487e-05,6.26677021705003e-05,0.0004490445905142,0.0007732067148716,0.0003554954891436,0.0005345383249901,0.0003757869679867,0.0006542689896422,0.0001654306304214,0.0007233765015227,0.0004325929433999,0.0002516493879366
RPLP1,0.0,0.0,0.0003552010874391,0.0,2.668964226449436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994458538748572e-05,0.0,0.0,0.0,0.0,0.0,2.1641938458618496e-05,7.676927336015248e-05,0.0,0.0,0.0,0.0,4.881460594952173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001453436211659,8.834851524352146e-05,0.0,2.9001175961998115e-05,0.0,7.84569633207242e-05,0.0,0.0003144091106607,9.75521300890107e-06,0.0
PHB1,0.001774702146954,0.0002630370960177,0.0054485156391411,0.0024243023392841,0.0029278306224604,0.0026246583223734,0.0024737058824656,0.0033814068250616,0.0022553061231041,0.0002760747041382,0.0015117564636931,0.0018072257379963,0.0017275279184343,0.0016510454073062,0.0033707017814493,0.0027803800441014,0.0030055577466321,0.0032368867005134,0.0021232137914345,0.0008943034917308,0.0036447766744606,0.0022344748582627,0.0019982672401095,0.0013727259979368,0.0017570116717638,0.0005943868062412,0.0035664385426273,0.004103785570044,0.0021075444932745,0.0018381893475978,0.001552464762911,0.0002885192067913,0.0010214347907977,0.0005013817941785,0.0007870883532989,0.0007504907033245,0.0005502205826819,0.000588813361809,0.0011948298634323,0.0007732780579498,0.0007871911725055,0.0005294572316417,0.0008057583035576,0.0012320677627233,0.0009588526508558,0.0006765204556495,0.000749636450073,0.000761392452073,0.0022936951799226,0.0005095090618964,0.0026945106929628,0.0006550246639398,0.001315262206271
CPT1B,0.0001254023097589,5.647700898388346e-05,0.0008741641590553,0.0003702987704457,0.0005444968707019,0.0004815975420634,0.0003541876822351,0.000621772555017,0.0003190482374179,3.136744488135983e-05,0.0003357727100149,0.0002987318849997,0.0001419559922324,0.0001955738231585,0.0006247511967098,0.0004736661521293,0.0004460783004424,0.0005487582662269,0.0002717412756054,8.9096400016745e-05,0.0002720481197923,0.0001729135404224,0.0001095947977025,0.0001082642938014,9.778385506097364e-05,5.70285754435277e-05,0.0003417010267724,0.0003393297471378,0.0001568271932486,8.673522372540154e-05,0.0001406237570827,8.545127675361694e-05,0.0007127248349646,0.0003533549645871,0.0006990265231405,0.0005486709239737,0.0003556706003023,0.0003024709794282,0.0008076449311983,0.0004992952820437,0.0004935160782609,0.0003042472620722,0.0004955882252777,0.000387053171229,0.000618575905306,0.0006660424645372,0.0004253523934891,0.0006721879930471,0.0004577564080487,0.0004376512995453,0.0006373261100626,0.0003606080251522,0.0001863887840025
SYNM,0.0004025342859121,0.0002002404094723,0.0011908554391261,0.0007361486046427,0.0009194140935851,0.00081055144342,0.0007234984516589,0.0009592851147061,0.0007605611319549,0.0002930623846537,0.0008214568317756,0.000640343144535,0.0004112947053143,0.0004070352761802,0.0010220677322889,0.0007419976041387,0.0007797956561476,0.0009223723332784,0.0005556579644477,0.0002881279749147,0.0011102662467586,0.0007029975097337,0.0007189185654091,0.0004699133950426,0.0005697988328826,0.0005298253424735,0.0012664527809396,0.0010878917451225,0.0006671562930852,0.0005438642889941,0.0005203249242635,0.0001506060652223,0.0010047979977726,0.0004810477747153,0.0007728512651046,0.0007115036364578,0.0004620709140479,0.0005978370333996,0.0010066881557823,0.0007178449810622,0.0007246361055569,0.0004224860702767,0.0007281333608413,0.0013738178518171,0.0011507222574791,0.0007074511106075,0.0009223917371951,0.0007229765155733,0.000880991027163,0.0004979854046993,0.0007676800787069,0.0007423698863988,0.0006113451661177
FHOD1,2.724154205957432e-06,0.0,6.729663325922694e-05,1.115721104014325e-05,8.25320941835599e-06,3.125480231582781e-05,4.020565595665014e-05,6.804289191390608e-06,2.7475004911236983e-06,0.0,0.0,0.0,1.172876051135584e-06,1.6242266841788384e-06,5.325256125058688e-06,3.2439077345110004e-05,1.3304219511943604e-05,2.1327814109710795e-06,1.4776659840994371e-06,4.550870423906075e-07,6.954189905262447e-05,8.409567846755436e-07,3.610611178323111e-06,6.137802370038585e-07,0.0,0.0,4.77181274934798e-06,0.0,0.0,0.0,0.0,1.6924705313844164e-06,4.319353001080694e-05,8.561129899196824e-06,7.804761865886249e-06,2.491518191841101e-06,2.6737248826469622e-06,1.1992079732814751e-05,2.0017901744003257e-06,4.815379705454763e-06,3.007247935639437e-06,0.0,4.8428446260072586e-06,1.1559056813826209e-05,5.547109520699096e-05,6.4400243314028646e-06,0.0,1.284478255007174e-06,4.375981720365225e-06,0.0,2.4802693113431377e-06,1.492491831151879e-06,5.791418111974758e-07
RPS25,0.0001664887303741,5.60861379591254e-05,0.0001849659963296,0.0004751660998974,0.000380636813449,0.0003651092383339,0.0004103958750529,0.0003515323281458,0.000243859958216,0.0001005093247973,3.44862647497068e-05,0.000210496276976,0.0002079672449841,0.0001371748180696,0.0002197153549316,0.0002320510713681,0.000207992394212,0.0002855673166413,0.0002122114925997,0.0001501095953129,0.0001947809345604,0.0002037574933507,0.0003564592627087,0.0001176318725252,0.0001278090093897,0.0001551426671432,0.000133760394659,8.272341504741798e-05,0.0001609402827727,0.0001081986795523,0.0001852080713509,0.0001019917744891,0.000556705435656,0.0002748339710001,0.0003983047028024,0.0002430498780393,0.0002560817312758,8.184901496767655e-05,0.0003609798430145,0.0002733581776889,0.0002058231544956,0.0002159591390537,0.0003828528833256,0.0004656461442323,0.0003512668143262,0.0004964808007721,0.0002464361329998,0.000434002562954,0.0003305082014088,0.0002807533470775,0.0002214957938415,0.0001996687458936,0.0003321329367823
